,review
0,"Great Japanese restaurant in the area, with well executed classics for an affordable price. But be prepared for a wait. Visited on a Sunday evening and the restaurant was packed. All tables full and maybe a 15 minute wait? Service was attentive but not doting, which is fine. A few highlights of the food: Sashimi is very good - huge portions and high quality. We got a few bento combos that had sashimi, and where most places would give you 4-5 2""x1""x0.5"" pieces, here you get absolutely gigantic pieces, maybe 50% more fish per slice. Quality is super good, very fresh and well selected cuts. No stringiness! Major highlight was the tuna kama (pictured) which was a special. Huge, roasty, and rich fish flavor. Bring a few friends, because this is definitely meant to be shared. Would definitely come again, although maybe on a quieter night. (Sushi, sashimi, grill items, tuna kama)"
1,"Service was incredibly slow and felt incredibly chaotic inside. Servers were running and rushing around, felt low on staff. We had high expectations because of all the high ratings however, food did not deliver.The quality of the toro in the negitoro was below expectations. You cannot taste much of the fish and the texture felt mushy. The deluxe chirashi special was alright. There was a good variety of fish.The tomi special was probably our favourite, more complex flavours and fattier fish."
2,"Came with a friend on a weekday for lunch. It was pretty crowded even though we went around 1 pm, but we were able to find a seat immediately.I got the lunch combo with tonkatsu and beef teriyaki, and it comes with miso soup, salad, and rice. We also got an order of the hamachi nigiri and a rainbow roll. The lunch combo was decent. The tonkatsu was pretty good and the batter wasn't too heavy. The pork itself was tender and juicy, even though the cutlets were pretty thin. The beef, on the other hand, was tough and lacked flavor apart from the teriyaki sauce. The hamachi was fresh and not too fishy; very solid, but also nothing special. The rainbow roll had too much mayo in it, which overpowered the other flavors in the roll. The fish on top was fresh and if eaten apart from the roll, would've been good. So unless you like mayo, maybe don't order the rainbow roll.The service was straightforward and quick. There was street parking in the area as well as a parking lot nearby, a couple blocks down."
3,"We came around Wednesday dinner time, and there was quite a few people on the waitlist. It took around 20 minutes to get seated at the bar.The employees are very friendly and make sure that you are ok throughout your meal. We got tempura, yaki onigiri, tuna, and the chiraishi. Price wise, not too bad. Food wise, it was also not too bad, but also did not wow me. I was expecting the yaki onigiri to behave crispy rice on the outside, but it wasn't crispy. The fish tasted fresh, and was pretty decent. The tempura was also pretty good.Overall, nothing to complain about, but also nothing that impressed. A solid place to go when you are craving some fish!"
4,"Looking for fresh sushi in downtown MV? This is your place! Solid cuts of sashimi (definitely try their fatty tuna) and decently priced, although still quite expensive. The price does limit you from trying too much but overall great service, location is small but quaint, and great quality of food. will definitely come back."
5,Been coming here for the past few months and their quality and price can't be beat! Very easy to call in for pickup and food is usually ready in 20-25 min. For in restaurant dining I recommend going at off peak times to avoid the wait.
6,"I quite like this place!I guess I have been here two times now.  Once many many eons ago, when I came here with a girlfriend and her mother.  It was probably the first time that we all went out together, so I had to be a good little boi and on my best behaviour.  It went as well as it could, but I wasn't really looking for anything that serious in my life and that point.  Sometimes you just date people for a time, even though you know it probably won't end in marriage. And let's be honest - I'm thinking that marriage itself is an antiquated construct that we have forced ourselves to believe in.  Hell, even my own mother said, ""Kids just add so much stress to a relationship, especially the third one.  God I wish we had stopped at two.""Thanks, mom.Will I ever get married?  Who knows.  Probably not.  We can just all live our lives and do whatever feels right, ya know?  So let's cheers to that, my brothers and sisters!  Let us all live our best lives :DOh yeah!  The food is good and the ambiance is quiet.  There, Yelp, I fulfilled your demands."
7,"One of a few Japanese restaurant that is owned by Japanese person. They do not take reservations and you will have to wait a long line if you don't show up 30 minutes before they open. They have two locations in Mountain View and San Jose. They are both good compared to the quality of fish, the price is very reasonable. Omakase is my recommendation. Family friendly environment."
8,My family and I came by for dinner and were very happy with our meal. The fish quality was good and fresh for all dishes! Service was quick and friendly. I would recommend this spot :)
9,"Good quality fish at Mountain View prices. Perhaps a bit understaffed, and that sometimes comes through in the dining experience, but the food outshines the service here.This place is a popular spot, and you'll always see people lining up before it opens. They have a lot of different traditional options, but my personal favorite is the sake don. It's just salmon, but the richness of the salmon is perfect with a bit of soy sauce over rice. The tekka don is just as good for the tuna lover - great quality tuna. While the karaage wasn't much of a standout (it was fine), the rolls and nigiri were all quite good. I personally loved the toro and will always try to order a piece when offered at restaurants. My service experience that day was satisfactory, as I went in right at the opening time and got in an order before the lunch rush happened."
10,"Sushi Tomi is located off of Castro and is a hidden gem. There was a wait to be seated on a Saturday evening. We waited about 30-45 minutes. Worth it though. The sashimi is amazing! Great quality! I found myself eating the pieces slowly to savor the fish. Nigiri roll was also tasty. I believe the other roll we received was a super bomb roll, which is a must get. I wish we were able to add cream cheese. It would've been next level. The grilled pork was very chewy; would not get again. Miso soup is as expected. The price is a little higher compared to other sushi spots, but worth the extra! Highly recommend! The restaurant is small so it's probably best to come when they open to decrease likelihood of a longer wait. There's a parking lot across the restaurant and street parking is available."
11,"First time here today and it was a good one. The Tomi Special Roll did not disappoint, fresh fish, and delicious sauce. It was the highlight of this lunch meal. The regular salmon and unagi rolls are decent. The fish are soft fresh. But would recommend the special rolls for better taste. Tried the skewers and they were okay, but for the price would rather have ordered another roll instead or another dish. But still good to try. It was a busy lunch hour, long line, had to wait for 15+ mins to get seated. All parties must be present. The waiter was attentive and friendly. The food was delivered at an acceptable pace, the skewers take longer though. Next time, will just stick to sushi and rolls. The place is small and crowded, but good to try if you like sushi rolls. Best time would be to beat the lunch crowd and to check their hours of operation."
12,"I haven't been here in years. There is a wait but only because they don't have enough staff. The 3 wait staff have to do it all for their tables - clear tables. seat people, take orders, and bring food. There is no separate host / greeter or someone clearing tables. The sushi menu has no descriptions of the sushi and the sushi roll list is very small. Everyone around us had the lunch bento. The portion is great but they forgot the ginger and the also the salad dressing. It's quite loud and hard to have a decent conversation. The ahi sashimi was fresh. The salmon teriyaki was over cooked for my taste. The salad dressing was ranch (?). I feel like this used to be the go to place but now outdated. They need a structure. And new descriptive menus with pictures."
13,"I haven't had sushi for a while so this was really nice. There are quite a few places to eat sushi in the Bay Area, however some of the places I prefer to go are closed on Sunday and Mondays (and that's when I'll be in town) so we decided to try something new to us. We were meeting a friend in Mountain View and I looked up some spots, Sushi Tomi has solid reviews and I agree with that. It was relatively busy even though we arrived shortly after it opened for dinner, but we were able to get a table right away. We chose some different rolls to share and I had one of my favorite things- unagi. I don't share that typically haha. I also tried the katsu don dinner and it was pretty tasty as well. It was a lot of food in the bowl so I took most of it with me. Overall, Sushi Tomi is yummy and I had some great company to enjoy it with :)"
